link_dict:time,link_dict:loss,link_dict:bg_power,link_dict:wavelength,link_dict:wavelength_range,hardware_dict:clock_rate,hardware_dict:reciever_losses,hardware_dict:ec_efficency,hardware_dict:dark_counts,hardware_dict:detector_error,hardware_dict:detector_time,hardware_dict:background_qber,protocol_dict:name,protocol_dict:internals:signal_strength,protocol_dict:internals:decoy_strength,protocol_dict:internals:N_0,protocol_dict:internals:N_sig,protocol_dict:internals:N_dec_z,protocol_dict:internals:N_dec_x,protocol_dict:internals:prob_z,protocol_dict:internals:sigma,result:key_rate,result:qber,result:gain
360,18.597194388777556,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,7.560915782627714e-05,0.01055521018909634,0.0008700690494808372
360,18.677354709418836,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,7.418565492826857e-05,0.010565536766271293,0.0008541817796807738
360,18.75751503006012,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,7.278839651599397e-05,0.01057605526918286,0.0008385848152633324
360,18.837675350701403,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,7.141690056094615e-05,0.01058676925639361,0.0008232728559399716
360,18.917835671342683,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,7.007069387812218e-05,0.010597682352132326,0.0008082406980325363
360,18.997995991983966,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,6.874931196414114e-05,0.010608798247486773,0.0007934832327184393
360,19.07815631262525,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,6.745229883814743e-05,0.010620120701628592,0.0007789954443074842
360,19.158316633266534,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,6.617920688481916e-05,0.010631653543052288,0.0007647724085491081
360,19.238476953907814,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,6.492959670116983e-05,0.010643400670847469,0.0007508092909705999
360,19.318637274549097,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,6.370303694631304e-05,0.010655366055977639,0.0007371013452456276
